"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"STAT6",1,"BCL6","eU139","eD139"
"RB1",-1,"E2F1","eU140","eD140"
"E2F1",1,"RB1","eU141","eD141"
"STAT3",1,"JUNB","eU142","eD142"
"TFAP2A",1,"MXI1","eU143","eD143"
"ESR1",1,"TFAP2A","eU144","eD144"
"TFAP2A",1,"ESR1","eU145","eD145"
"ESR1",1,"TFAP2C","eU146","eD146"
"TFAP2C",1,"ESR1","eU147","eD147"
"PBX1",1,"PREB","eU148","eD148"
"TCF3",1,"PREB","eU149","eD149"
"MYC",1,"KAT2B","eU150","eD150"
"TP53",1,"YY1","eU151","eD151"
"YY1",1,"TP53","eU152","eD152"
"IRF1",1,"CIITA","eU153","eD153"
"CIITA",1,"IRF1","eU154","eD154"
"MYC",1,"MAX","eU155","eD155"
"MAX",-1,"MYC","eU156","eD156"
"MYC",1,"MXD1","eU157","eD157"
"ETS1",1,"DDIT3","eU158","eD158"
"FLI1",1,"DDIT3","eU159","eD159"
"TP53",-1,"ETS1","eU160","eD160"
"ETS1",1,"TP53","eU161","eD161"
"ETS2",1,"TP53","eU162","eD162"
"SP1",1,"POU5F1","eU163","eD163"
"STAT5A",1,"FOS","eU164","eD164"
"EGR1",1,"NAB2","eU165","eD165"
"NAB2",-1,"EGR1","eU166","eD166"
"HNF1B",1,"HNF4A","eU167","eD167"
"HNF4A",1,"HNF1B","eU168","eD168"
"MEF2C",1,"JUN","eU169","eD169"
"SPI1",1,"ETS2","eU170","eD170"
"POU4F2",1,"PAX6","eU171","eD171"
"STAT6",1,"IRF1","eU172","eD172"
"IRF1",1,"STAT1","eU173","eD173"
"STAT1",1,"IRF1","eU174","eD174"
"NR4A1",1,"MEF2A","eU175","eD175"
"MEF2A",1,"NR4A1","eU176","eD176"
"FOS",1,"CEBPB","eU177","eD177"
"CEBPB",1,"FOS","eU178","eD178"
"CEBPG",1,"FOS","eU179","eD179"
"SP1",1,"NFYA","eU180","eD180"
"MYB",1,"CEBPB","eU181","eD181"
"CEBPB",1,"CEBPA","eU182","eD182"
"CEBPA",1,"CEBPB","eU183","eD183"
"MYF5",1,"MYOG","eU184","eD184"
"MYOG",1,"MYF5","eU185","eD185"
"MYOG",1,"MEF2A","eU186","eD186"
"MEF2A",1,"MYOG","eU187","eD187"
"MYOD1",1,"MYOG","eU188","eD188"
"MYOG",1,"MYOD1","eU189","eD189"
"MYC",1,"AR","eU190","eD190"
"AR",1,"MYC","eU191","eD191"
"IRF2",1,"CIITA","eU192","eD192"
"CIITA",1,"IRF2","eU193","eD193"
"SMAD7",-1,"SMAD3","eU194","eD194"
"SMAD3",1,"SMAD7","eU195","eD195"
"SMAD4",1,"SMAD7","eU196","eD196"
"JUN",1,"FGF2","eU197","eD197"
"JUND",1,"NR4A1","eU198","eD198"
"IRF1",1,"CREBBP","eU199","eD199"
"CREBBP",1,"IRF1","eU200","eD200"
"IRF8",1,"CREBBP","eU201","eD201"
"EGR1",1,"TP73","eU202","eD202"
"TP73",-1,"SP1","eU203","eD203"
"SP1",1,"TP73","eU204","eD204"
"TFAP2A",1,"TP73","eU205","eD205"
"CEBPB",1,"TFAP2A","eU206","eD206"
"CEBPG",1,"TFAP2A","eU207","eD207"
"TFAP2A",-1,"CEBPA","eU208","eD208"
"NCOA1",1,"CREBBP","eU209","eD209"
"RUNX1",1,"ETV6","eU210","eD210"
"TP53",-1,"BRCA1","eU211","eD211"
"POU4F2",-1,"BRCA1","eU212","eD212"
"POU4F1",1,"BRCA1","eU213","eD213"
"NRF1",1,"NFE2","eU214","eD214"
"SP1",1,"SRF","eU215","eD215"
"TP53",-1,"TP63","eU216","eD216"
"TP63",1,"TP53","eU217","eD217"
"NCOR1",1,"CREBBP","eU218","eD218"
"NCOR2",1,"CREBBP","eU219","eD219"
"CTCF",-1,"MYC","eU220","eD220"
"STAT5B",1,"CREBBP","eU221","eD221"
"RARA",1,"RARB","eU222","eD222"
"RARB",1,"RARA","eU223","eD223"
"NRF1",1,"E2F1","eU224","eD224"
"SMAD4",1,"MSX2","eU225","eD225"
"GTF2IRD1",1,"RB1","eU226","eD226"
"MYOD1",1,"MAFB","eU227","eD227"
"AHR",1,"RB1","eU228","eD228"
"MYB",1,"CREBBP","eU229","eD229"
"CEBPD",1,"PPARG","eU230","eD230"
"PGR",-1,"MYC","eU231","eD231"
"CIITA",1,"STAT1","eU232","eD232"
"STAT1",1,"CIITA","eU233","eD233"
"PDX1",1,"FOXA2","eU234","eD234"
"FOXA2",1,"PDX1","eU235","eD235"
"SP3",1,"ZNF143","eU236","eD236"
"HNF4A",1,"FOXA2","eU237","eD237"
"FOXA2",1,"HNF4A","eU238","eD238"
"ONECUT1",1,"FOXA2","eU239","eD239"
"FOXA2",1,"ONECUT1","eU240","eD240"
"HNF4A",1,"ONECUT1","eU241","eD241"
"ONECUT1",1,"HNF4A","eU242","eD242"
"STAT5A",1,"ONECUT1","eU243","eD243"
"STAT5A",1,"TFAP2A","eU244","eD244"
"ETS1",1,"NR1H2","eU245","eD245"
"CEBPB",1,"RBPJ","eU246","eD246"
"SPI1",1,"PAX5","eU247","eD247"
"PAX5",-1,"SPI1","eU248","eD248"
"SMAD6",1,"SMAD1","eU249","eD249"
"SMAD1",1,"SMAD6","eU250","eD250"
"MYBL1",1,"CDX1","eU251","eD251"
"NR5A1",1,"POU5F1","eU252","eD252"
"RARA",1,"POU5F1","eU253","eD253"
"STAT4",1,"MYC","eU254","eD254"
"ZNF91",1,"TFAP2A","eU255","eD255"
"PRDM1",-1,"MYC","eU256","eD256"
"PRDM1",1,"YY1","eU257","eD257"
"YY1",-1,"MYC","eU258","eD258"
"NR3C2",1,"RELA","eU259","eD259"
"SP1",1,"NR3C2","eU260","eD260"
"NR3C2",1,"SP1","eU261","eD261"
"SP1",1,"RELA","eU262","eD262"
"RELA",1,"SP1","eU263","eD263"
"CLOCK",1,"DBP","eU264","eD264"
"CTCF",1,"SIN3A","eU265","eD265"
"IRF1",-1,"MYB","eU266","eD266"
"LEF1",1,"MITF","eU267","eD267"
"MAF",1,"TP53","eU268","eD268"
"TP53",1,"MAF","eU269","eD269"
"AIRE",1,"CREBBP","eU270","eD270"
"RARA",1,"NPM1","eU271","eD271"
"NEUROG3",1,"NEUROD1","eU272","eD272"
"NR2C1",1,"RARB","eU273","eD273"
"FOXA2",1,"HHEX","eU274","eD274"
"GATA4",1,"HHEX","eU275","eD275"
"NR5A1",1,"CREBBP","eU276","eD276"
"MITF",1,"TBX2","eU277","eD277"
"TBX2",1,"MITF","eU278","eD278"
"SRF",1,"NR4A1","eU279","eD279"
"SP1",1,"AR","eU280","eD280"
"AR",1,"SP1","eU281","eD281"
"GABPA",1,"BRCA1","eU282","eD282"
"NCOA1",1,"KAT2B","eU283","eD283"
"NCOA3",1,"CREBBP","eU284","eD284"
"NCOA3",1,"KAT2B","eU285","eD285"
"ATF4",1,"CREBBP","eU286","eD286"
"JUND",1,"CEBPZ","eU287","eD287"
"MYOD1",1,"RB1","eU288","eD288"
"RUNX2",1,"CEBPD","eU289","eD289"
"CEBPA",-1,"ONECUT1","eU290","eD290"
"HES1",-1,"NEUROG1","eU291","eD291"
"NCOA2",1,"KAT2B","eU292","eD292"
"AHR",1,"CREBBP","eU293","eD293"
"CEBPB",1,"CREBBP","eU294","eD294"
"TLX1",1,"WT1","eU295","eD295"
"ONECUT1",1,"NEUROG3","eU296","eD296"
"NFKB1",1,"STAT5A","eU297","eD297"
"RELA",1,"STAT5A","eU298","eD298"
"MYOG",1,"ID2","eU299","eD299"
"SP1",1,"SMAD7","eU300","eD300"
"SP1",1,"VDR","eU301","eD301"
"VDR",1,"SP1","eU302","eD302"
"RELA",1,"CIITA","eU303","eD303"
"SFPQ",1,"SP1","eU304","eD304"
"BMAL1",1,"DBP","eU305","eD305"
"DBP",1,"BMAL1","eU306","eD306"
"ETS2",1,"FGF2","eU307","eD307"
"TBXT",1,"GSC","eU308","eD308"
"PPARG",1,"CEBPA","eU309","eD309"
"CEBPA",1,"PPARG","eU310","eD310"
"CEBPB",1,"PPARG","eU311","eD311"
"CEBPG",1,"PPARG","eU312","eD312"
"EGR1",1,"KLF5","eU313","eD313"
"KLF5",1,"EGR1","eU314","eD314"
"STAT3",1,"CEBPD","eU315","eD315"
"HOXA5",1,"PGR","eU316","eD316"
"HOXB4",1,"PGR","eU317","eD317"
