"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"USF1",1,"SP3","eU1404","eD1404"
"NCOR1",1,"ASCL2","eU1405","eD1405"
"CEBPB",1,"ATF4","eU1406","eD1406"
"ATF4",1,"CEBPB","eU1407","eD1407"
"MBD2",1,"BRCA1","eU1408","eD1408"
"CEBPB",1,"KLF5","eU1409","eD1409"
"KLF5",1,"PPARG","eU1410","eD1410"
"EGR2",1,"CEBPB","eU1411","eD1411"
"CEBPB",-1,"EGR2","eU1412","eD1412"
"SP1",1,"KLF6","eU1413","eD1413"
"GTF2I",1,"E2F2","eU1414","eD1414"
"SMAD3",1,"E2F2","eU1415","eD1415"
"GSC",1,"GTF2I","eU1416","eD1416"
"GTF2I",1,"GSC","eU1417","eD1417"
"SMAD2",1,"GSC","eU1418","eD1418"
"POU2F1",1,"GATA2","eU1419","eD1419"
"POU2F1",1,"SOX2","eU1420","eD1420"
"SOX9",1,"SOX2","eU1421","eD1421"
"EGR1",1,"ATF3","eU1422","eD1422"
"ATF3",1,"EGR1","eU1423","eD1423"
"ESR1",1,"WT1","eU1424","eD1424"
"WT1",1,"ESR1","eU1425","eD1425"
"CREB1",1,"AR","eU1426","eD1426"
"NR5A2",1,"ESR1","eU1427","eD1427"
"ESR1",1,"NR5A2","eU1428","eD1428"
"FOXO3",1,"FOXO1","eU1429","eD1429"
"FOXO1",1,"FOXO3","eU1430","eD1430"
"KLF5",1,"RARA","eU1431","eD1431"
"TP53",-1,"STAT3","eU1432","eD1432"
"STAT3",-1,"TP53","eU1433","eD1433"
"RXRA",1,"SREBF1","eU1434","eD1434"
"PROX1",1,"SOX2","eU1435","eD1435"
"PAX6",1,"SOX2","eU1436","eD1436"
"SOX2",1,"PAX6","eU1437","eD1437"
"TFAP2A",1,"SOX2","eU1438","eD1438"
"MSX2",-1,"SOX2","eU1439","eD1439"
"TRPS1",-1,"RUNX2","eU1440","eD1440"
"NCOA2",1,"TGFB1I1","eU1441","eD1441"
"ESR1",-1,"PPARA","eU1442","eD1442"
"SP3",1,"POU5F1","eU1443","eD1443"
"GCM1",1,"CREBBP","eU1444","eD1444"
"YY1",-1,"NPM1","eU1445","eD1445"
"LEF1",1,"SNAI2","eU1446","eD1446"
"SMAD1",1,"SNAI2","eU1447","eD1447"
"IRF3",1,"LITAF","eU1448","eD1448"
"NR3C1",1,"NCOA1","eU1449","eD1449"
"NCOA1",1,"NR3C1","eU1450","eD1450"
"JUN",-1,"HES1","eU1451","eD1451"
"HES1",1,"JUN","eU1452","eD1452"
"STAT1",1,"SMARCA4","eU1453","eD1453"
"HEY1",-1,"GATA4","eU1454","eD1454"
"HEY1",-1,"GATA6","eU1455","eD1455"
"SOX4",1,"MECOM","eU1456","eD1456"
"NR0B1",1,"EWSR1","eU1457","eD1457"
"EWSR1",1,"NR0B1","eU1458","eD1458"
"NR0B1",1,"FLI1","eU1459","eD1459"
"FLI1",1,"NR0B1","eU1460","eD1460"
"NR0B2",-1,"PPARGC1A","eU1461","eD1461"
"ESRRA",1,"PPARGC1A","eU1462","eD1462"
"ESRRG",1,"PPARGC1A","eU1463","eD1463"
"NKX3_1",1,"PML","eU1464","eD1464"
"POU1F1",1,"CREBBP","eU1465","eD1465"
"ESR1",1,"NFATC4","eU1466","eD1466"
"NFATC4",1,"ESR1","eU1467","eD1467"
"NR1I2",1,"NCOR2","eU1468","eD1468"
"NCOR2",1,"NR1I2","eU1469","eD1469"
"ESR1",1,"BRCA1","eU1470","eD1470"
"BRCA1",1,"ESR1","eU1471","eD1471"
"JUN",1,"BRCA1","eU1472","eD1472"
"FOS",1,"BRCA1","eU1473","eD1473"
"BRCA1",1,"FOS","eU1474","eD1474"
"KLF6",1,"KAT2B","eU1475","eD1475"
"PAX6",1,"NEUROG2","eU1476","eD1476"
"NEUROG2",-1,"PAX6","eU1477","eD1477"
"VDR",1,"RELB","eU1478","eD1478"
"YBX1",1,"YBX3","eU1479","eD1479"
"PPARA",1,"NR1I2","eU1480","eD1480"
"KLF4",1,"TP53","eU1481","eD1481"
"TP53",1,"KLF4","eU1482","eD1482"
"HES1",-1,"REST","eU1483","eD1483"
"AR",1,"SIN3A","eU1484","eD1484"
"RELB",1,"MYC","eU1485","eD1485"
"HIC1",-1,"SIRT1","eU1486","eD1486"
"SIRT1",1,"HIC1","eU1487","eD1487"
"SPI1",1,"IRF4","eU1488","eD1488"
"IRF4",1,"SPI1","eU1489","eD1489"
"HAND1",1,"PHOX2B","eU1490","eD1490"
"PHOX2B",1,"HAND1","eU1491","eD1491"
"HAND2",1,"HAND1","eU1492","eD1492"
"PHOX2A",1,"GATA2","eU1493","eD1493"
"PHOX2A",1,"HAND1","eU1494","eD1494"
"GRHL3",1,"HEY1","eU1495","eD1495"
"SP1",1,"FOSL1","eU1496","eD1496"
"ESR1",1,"LMO4","eU1497","eD1497"
"LMO4",1,"ESR1","eU1498","eD1498"
"LMO4",1,"MTA1","eU1499","eD1499"
"MTA1",1,"LMO4","eU1500","eD1500"
"SP3",1,"SMARCC1","eU1501","eD1501"
"PAX3",1,"SMARCC1","eU1502","eD1502"
"CUX1",1,"ABL1","eU1503","eD1503"
"ETS1",1,"GATA1","eU1504","eD1504"
"ETS1",1,"GATA2","eU1505","eD1505"
"ESR1",1,"ETV4","eU1506","eD1506"
"MYBL2",-1,"E2F1","eU1507","eD1507"
"E2F1",1,"MYBL2","eU1508","eD1508"
"CREB1",1,"STAT4","eU1509","eD1509"
"POU2F1",1,"STAT4","eU1510","eD1510"
"SP1",1,"STAT4","eU1511","eD1511"
"STAT1",1,"TBX21","eU1512","eD1512"
"IRF8",1,"NCOA3","eU1513","eD1513"
"NCOA3",1,"IRF8","eU1514","eD1514"
"ESRRA",1,"NR0B1","eU1515","eD1515"
"NR0B1",-1,"ESRRG","eU1516","eD1516"
"ESRRG",1,"NR0B1","eU1517","eD1517"
"KLF6",1,"IRF9","eU1518","eD1518"
"VDR",1,"POU1F1","eU1519","eD1519"
"POU1F1",1,"VDR","eU1520","eD1520"
"DNMT3A",1,"SMARCA4","eU1521","eD1521"
"DBP",1,"ESR1","eU1522","eD1522"
"FOXA1",1,"BRCA1","eU1523","eD1523"
"HNF4A",1,"CREBBP","eU1524","eD1524"
"CEBPB",1,"SPI1","eU1525","eD1525"
"POU2F1",1,"SPI1","eU1526","eD1526"
"IKZF1",-1,"HES1","eU1527","eD1527"
"PRDM2",-1,"MYC","eU1528","eD1528"
"DNMT3A",1,"ASCL1","eU1529","eD1529"
"DNMT3B",1,"ASCL1","eU1530","eD1530"
"ASCL1",1,"EZH2","eU1531","eD1531"
"EZH2",1,"ASCL1","eU1532","eD1532"
"NCOR1",1,"AR","eU1533","eD1533"
"AR",1,"NCOR1","eU1534","eD1534"
"NCOR1",1,"NCOR2","eU1535","eD1535"
"NCOR2",1,"AR","eU1536","eD1536"
"AR",1,"SMARCA1","eU1537","eD1537"
"SP1",1,"EPAS1","eU1538","eD1538"
"SP3",1,"EPAS1","eU1539","eD1539"
"HIF1A",1,"FGF2","eU1540","eD1540"
"SP1",-1,"AHR","eU1541","eD1541"
"TP73",1,"TP63","eU1542","eD1542"
"TP63",1,"TP73","eU1543","eD1543"
"RARA",1,"CREBBP","eU1544","eD1544"
"CREBBP",1,"RARA","eU1545","eD1545"
"HNF4A",1,"POU2F1","eU1546","eD1546"
"ESRRB",1,"THRA","eU1547","eD1547"
"SKIL",-1,"SMAD7","eU1548","eD1548"
"E2F3",1,"RB1","eU1549","eD1549"
"RB1",-1,"E2F3","eU1550","eD1550"
"MSX1",-1,"PITX1","eU1551","eD1551"
"GATA5",1,"PGR","eU1552","eD1552"
"TP53",1,"VDR","eU1553","eD1553"
"TP63",1,"VDR","eU1554","eD1554"
"LEF1",1,"AR","eU1555","eD1555"
"DNMT1",1,"DNMT3B","eU1556","eD1556"
"DNMT3B",1,"DNMT1","eU1557","eD1557"
"NFKB1",1,"CREBBP","eU1558","eD1558"
"FOS",1,"FOSB","eU1559","eD1559"
"FOSB",-1,"FOS","eU1560","eD1560"
"PPARG",1,"PDX1","eU1561","eD1561"
"FOXO1",-1,"SREBF1","eU1562","eD1562"
"NR1I3",1,"HNF4A","eU1563","eD1563"
"VSX2",1,"CREBBP","eU1564","eD1564"
"STAT1",1,"FGF2","eU1565","eD1565"
"RARA",1,"RARG","eU1566","eD1566"
"RARG",1,"RARA","eU1567","eD1567"
"MYC",1,"BMAL1","eU1568","eD1568"
"MYC",1,"CLOCK","eU1569","eD1569"
"SNAI1",1,"SNAI2","eU1570","eD1570"
"SNAI2",-1,"SOX9","eU1571","eD1571"
"SOX9",1,"SNAI2","eU1572","eD1572"
"EPAS1",-1,"POU5F1","eU1573","eD1573"
"HIF1A",1,"POU5F1","eU1574","eD1574"
"KMT2A",1,"MYC","eU1575","eD1575"
"PPARG",1,"PPARGC1A","eU1576","eD1576"
"ELF1",1,"NFKB1","eU1577","eD1577"
"ESR1",1,"NFYA","eU1578","eD1578"
"NFATC2",1,"FOXP3","eU1579","eD1579"
"TBX21",1,"GATA3","eU1580","eD1580"
"MYOD1",1,"PPARGC1A","eU1581","eD1581"
"NKX3_1",1,"TFAP2A","eU1582","eD1582"
"MBD2",1,"CEBPA","eU1583","eD1583"
"USF1",1,"CEBPA","eU1584","eD1584"
"TBP",1,"TFAP4","eU1585","eD1585"
"BRCA1",1,"HIF1A","eU1586","eD1586"
"HIF1A",1,"BRCA1","eU1587","eD1587"
"NFKB2",1,"RELB","eU1588","eD1588"
"BMAL1",1,"PPARA","eU1589","eD1589"
"PPARA",1,"BMAL1","eU1590","eD1590"
"NKX2_5",1,"PITX2","eU1591","eD1591"
"TBX1",-1,"PITX2","eU1592","eD1592"
"PITX2",-1,"TBX1","eU1593","eD1593"
"TP53",1,"ID1","eU1594","eD1594"
"ID1",1,"TP53","eU1595","eD1595"
"TP53",1,"ID2","eU1596","eD1596"
"ID2",1,"TP53","eU1597","eD1597"
"RUNX2",1,"SP7","eU1598","eD1598"
"SP7",1,"RUNX2","eU1599","eD1599"
"RUNX2",1,"LEF1","eU1600","eD1600"
"LEF1",1,"RUNX2","eU1601","eD1601"
"SMAD1",1,"PPARG","eU1602","eD1602"
"GRHL3",1,"RB1","eU1603","eD1603"
"THRA",1,"CTNNB1","eU1604","eD1604"
"IRF2",1,"KAT2B","eU1605","eD1605"
"CEBPB",-1,"MYC","eU1606","eD1606"
"NCOA2",1,"RARB","eU1607","eD1607"
"NCOR2",1,"RARA","eU1608","eD1608"
"NCOR2",1,"RARB","eU1609","eD1609"
"IRF3",1,"NOTCH1","eU1610","eD1610"
"IRF3",1,"TP63","eU1611","eD1611"
"TP63",1,"HES1","eU1612","eD1612"
"OVOL1",-1,"MYC","eU1613","eD1613"
"MYC",1,"OVOL1","eU1614","eD1614"
"TP53",1,"TFAP2C","eU1615","eD1615"
"ZBTB16",-1,"PBX1","eU1616","eD1616"
"FOXO1",1,"FOXA2","eU1617","eD1617"
"FOXA2",1,"FOXO1","eU1618","eD1618"
"TP63",1,"NFYA","eU1619","eD1619"
"FOXO1",-1,"PPARG","eU1620","eD1620"
"SMAD6",1,"DLX3","eU1621","eD1621"
"CEBPB",1,"RB1","eU1622","eD1622"
"TBX21",1,"EGR2","eU1623","eD1623"
"NANOG",1,"ZFP42","eU1624","eD1624"
"POU5F1",1,"ZFP42","eU1625","eD1625"
"SOX2",1,"ZFP42","eU1626","eD1626"
"JUN",-1,"PPARGC1A","eU1627","eD1627"
"STAT3",1,"BCL3","eU1628","eD1628"
"E2F4",-1,"RB1","eU1629","eD1629"
"GABPA",1,"RB1","eU1630","eD1630"
"MAFG",1,"LITAF","eU1631","eD1631"
"LITAF",1,"MAFG","eU1632","eD1632"
"E2F1",1,"PURA","eU1633","eD1633"
"HES1",1,"RB1","eU1634","eD1634"
"XBP1",1,"DDIT3","eU1635","eD1635"
"LMO2",1,"NFE2","eU1636","eD1636"
"TAL1",1,"NFE2","eU1637","eD1637"
"ATF1",1,"MITF","eU1638","eD1638"
"NEUROG2",-1,"ASCL1","eU1639","eD1639"
"USF1",1,"HOXB7","eU1640","eD1640"
"TAL1",-1,"NFKB1","eU1641","eD1641"
"TCF12",1,"PAX6","eU1642","eD1642"
"USF2",1,"RUNX2","eU1643","eD1643"
"FOXD3",1,"POU5F1","eU1644","eD1644"
"STAT3",1,"NANOG","eU1645","eD1645"
"TBXT",1,"NANOG","eU1646","eD1646"
"ESR1",1,"FOXM1","eU1647","eD1647"
"FOXM1",1,"ESR1","eU1648","eD1648"
"CREB1",1,"CIITA","eU1649","eD1649"
"RARA",1,"THRA","eU1650","eD1650"
"THRA",1,"RARA","eU1651","eD1651"
"IRF3",1,"IRF1","eU1652","eD1652"
"RUNX1",1,"RARB","eU1653","eD1653"
"TCF12",1,"MYOG","eU1654","eD1654"
"NR3C1",1,"NR0B1","eU1655","eD1655"
"NR0B1",-1,"NR3C1","eU1656","eD1656"
"RELA",1,"ZEB1","eU1657","eD1657"
"HOXB7",1,"FGF2","eU1658","eD1658"
"ZBTB16",-1,"FGF2","eU1659","eD1659"
"BHLHE40",-1,"STAT1","eU1660","eD1660"
"PITX1",1,"POU1F1","eU1661","eD1661"
"PPARG",1,"TP53","eU1662","eD1662"
"NCOA1",1,"PPARGC1A","eU1663","eD1663"
"TCF3",-1,"NANOG","eU1664","eD1664"
"LEF1",1,"SALL4","eU1665","eD1665"
"TCF7L2",1,"SALL4","eU1666","eD1666"
"ID1",1,"MYOG","eU1667","eD1667"
"MYB",1,"ETS2","eU1668","eD1668"
"ETS2",1,"MYB","eU1669","eD1669"
"E2F1",1,"NCOA3","eU1670","eD1670"
"E2F1",-1,"YY1","eU1671","eD1671"
"NFE2L2",1,"SMARCA4","eU1672","eD1672"
"SP1",1,"TCF3","eU1673","eD1673"
"TCF3",1,"SP1","eU1674","eD1674"
"AHR",1,"SNAI2","eU1675","eD1675"
"ARNT",1,"HIF1A","eU1676","eD1676"
"HIF1A",1,"ARNT","eU1677","eD1677"
"RUNX1",1,"RUNX3","eU1678","eD1678"
"RUNX3",-1,"RUNX1","eU1679","eD1679"
"HBP1",1,"RB1","eU1680","eD1680"
"RB1",1,"HBP1","eU1681","eD1681"
"ONECUT1",1,"TBP","eU1682","eD1682"
"CEBPB",1,"ATF3","eU1683","eD1683"
"RUNX1",1,"GATA2","eU1684","eD1684"
"E2F4",-1,"BRCA1","eU1685","eD1685"
"MEF2C",1,"SRF","eU1686","eD1686"
"USF2",1,"GATA4","eU1687","eD1687"
"ISL1",1,"HNF1A","eU1688","eD1688"
"ISL1",1,"HNF4A","eU1689","eD1689"
"SMARCA1",1,"SMARCA4","eU1690","eD1690"
"MYOD1",1,"SMARCA1","eU1691","eD1691"
"MYOD1",1,"SMARCA4","eU1692","eD1692"
"BACH2",-1,"PRDM1","eU1693","eD1693"
"MAFK",-1,"PRDM1","eU1694","eD1694"
"SP1",1,"DDIT3","eU1695","eD1695"
"VDR",1,"NR1H3","eU1696","eD1696"
"NR1H3",1,"VDR","eU1697","eD1697"
"DLX3",1,"RUNX2","eU1698","eD1698"
"EBF1",1,"CEBPA","eU1699","eD1699"
"CEBPB",1,"EBF1","eU1700","eD1700"
"STAT2",1,"PML","eU1701","eD1701"
"PAX2",1,"GBX2","eU1702","eD1702"
"AHR",1,"TP53","eU1703","eD1703"
"NR0B2",-1,"SMAD3","eU1704","eD1704"
"ELK1",1,"TBP","eU1705","eD1705"
"KLF13",1,"CREBBP","eU1706","eD1706"
"KLF13",1,"KAT2B","eU1707","eD1707"
"CEBPG",1,"NEUROD6","eU1708","eD1708"
"CEBPB",1,"NEUROD6","eU1709","eD1709"
"TP53",1,"HIC1","eU1710","eD1710"
"HIC1",1,"TP53","eU1711","eD1711"
"PBX1",1,"NR5A1","eU1712","eD1712"
"NR5A1",1,"PBX1","eU1713","eD1713"
"NFKB2",1,"AR","eU1714","eD1714"
"RELB",1,"AR","eU1715","eD1715"
"ATF1",1,"FOSL1","eU1716","eD1716"
"CREB1",1,"FOSL1","eU1717","eD1717"
"ELK1",1,"FOSL1","eU1718","eD1718"
"MAX",1,"CEBPA","eU1719","eD1719"
"CREB1",1,"MITF","eU1720","eD1720"
"PPARD",1,"PPARGC1A","eU1721","eD1721"
"TAF1",1,"KAT2B","eU1722","eD1722"
"MEF2A",1,"MEF2C","eU1723","eD1723"
"MEF2C",1,"MEF2A","eU1724","eD1724"
"ETS1",1,"EBF1","eU1725","eD1725"
"SPI1",1,"EBF1","eU1726","eD1726"
"RUNX2",1,"NFATC2","eU1727","eD1727"
"E2F1",1,"BRCA1","eU1728","eD1728"
"MEF2A",1,"ATF3","eU1729","eD1729"
"AR",1,"NCOA3","eU1730","eD1730"
"NCOA3",1,"AR","eU1731","eD1731"
"KLF11",-1,"MYC","eU1732","eD1732"
"JUN",1,"VDR","eU1733","eD1733"
"FOXO3",-1,"ID1","eU1734","eD1734"
"SMAD4",-1,"MYC","eU1735","eD1735"
"LEF1",1,"MYC","eU1736","eD1736"
"EGR1",1,"PDX1","eU1737","eD1737"
"SP1",1,"TWIST1","eU1738","eD1738"
"POU3F2",1,"RB1","eU1739","eD1739"
"ESR2",1,"CREBBP","eU1740","eD1740"
"E2F1",-1,"AR","eU1741","eD1741"
"PLAGL1",1,"PPARG","eU1742","eD1742"
"STAT5A",1,"FOXP3","eU1743","eD1743"
"TP53",-1,"NOTCH1","eU1744","eD1744"
"NFATC4",1,"ESR2","eU1745","eD1745"
"MYOG",1,"SMARCA4","eU1746","eD1746"
"JUN",1,"SP1","eU1747","eD1747"
"SP1",1,"JUN","eU1748","eD1748"
"AR",1,"NKX3_1","eU1749","eD1749"
"NKX3_1",-1,"AR","eU1750","eD1750"
"BMAL1",1,"NR0B2","eU1751","eD1751"
"NR0B2",1,"BMAL1","eU1752","eD1752"
"CLOCK",1,"NR0B2","eU1753","eD1753"
"NR0B2",1,"CLOCK","eU1754","eD1754"
"SMAD1",1,"RUNX1","eU1755","eD1755"
"SOX9",1,"AR","eU1756","eD1756"
"USF2",1,"TFAP4","eU1757","eD1757"
"TFAP4",-1,"CEBPA","eU1758","eD1758"
"CEBPE",1,"GFI1","eU1759","eD1759"
"SMAD3",-1,"PAX6","eU1760","eD1760"
"CEBPA",1,"FOS","eU1761","eD1761"
"NEUROD1",1,"FOS","eU1762","eD1762"
"PDX1",1,"MAFA","eU1763","eD1763"
"MAFA",1,"PDX1","eU1764","eD1764"
"NEUROD1",1,"MAFA","eU1765","eD1765"
"MAFA",1,"NEUROD1","eU1766","eD1766"
"PDX1",1,"NEUROD1","eU1767","eD1767"
"NEUROD1",1,"PDX1","eU1768","eD1768"
"NR0B2",-1,"MAFA","eU1769","eD1769"
"NR0B2",-1,"PDX1","eU1770","eD1770"
"PRDM1",-1,"TP53","eU1771","eD1771"
"TBX3",-1,"TP53","eU1772","eD1772"
"TP53",1,"TBX3","eU1773","eD1773"
"ATF2",1,"ATF4","eU1774","eD1774"
"ATF4",1,"ATF2","eU1775","eD1775"
"SOX9",1,"HES1","eU1776","eD1776"
"TCF3",1,"GFI1B","eU1777","eD1777"
"GATA3",1,"GFI1B","eU1778","eD1778"
"GFI1B",-1,"GATA3","eU1779","eD1779"
"PPARA",1,"PPARGC1A","eU1780","eD1780"
"CREB1",1,"SOX9","eU1781","eD1781"
"SP1",1,"SOX9","eU1782","eD1782"
"CEBPB",1,"KAT2B","eU1783","eD1783"
"SP1",1,"LITAF","eU1784","eD1784"
"NFKB1",1,"ATF6","eU1785","eD1785"
"MNT",-1,"ERG","eU1786","eD1786"
"SPI1",1,"NKX2_5","eU1787","eD1787"
"HNF4A",1,"ID2","eU1788","eD1788"
"MYB",1,"OVOL1","eU1789","eD1789"
"NFE2L2",1,"CREBBP","eU1790","eD1790"
"EPAS1",1,"FGF2","eU1791","eD1791"
"FOXM1",1,"FOXA2","eU1792","eD1792"
"MYC",1,"FOXM1","eU1793","eD1793"
"FOXM1",1,"MYC","eU1794","eD1794"
"MYC",1,"MLXIPL","eU1795","eD1795"
"STAT3",1,"MED1","eU1796","eD1796"
"NKX3_1",1,"TP73","eU1797","eD1797"
"STAT1",1,"TP73","eU1798","eD1798"
"ATF4",1,"CEBPA","eU1799","eD1799"
"ATF4",1,"CEBPE","eU1800","eD1800"
"CEBPE",1,"ATF4","eU1801","eD1801"
"ESR1",1,"RUNX2","eU1802","eD1802"
"RUNX2",-1,"ESR1","eU1803","eD1803"
"RUNX3",-1,"SP7","eU1804","eD1804"
"HIF1A",1,"HIF3A","eU1805","eD1805"
"HIF3A",-1,"HIF1A","eU1806","eD1806"
"CTCF",1,"RB1","eU1807","eD1807"
"FOXM1",1,"NFATC3","eU1808","eD1808"
"ESR1",-1,"RELB","eU1809","eD1809"
"RELB",-1,"ESR1","eU1810","eD1810"
"PAX6",1,"HIPK2","eU1811","eD1811"
"JUNB",1,"JUND","eU1812","eD1812"
"JUND",1,"JUNB","eU1813","eD1813"
"SNAI1",-1,"VDR","eU1814","eD1814"
"NR1H3",1,"TFAP2A","eU1815","eD1815"
"PTF1A",1,"PDX1","eU1816","eD1816"
"CEBPB",1,"SOX6","eU1817","eD1817"
"NFKB1",1,"YY1","eU1818","eD1818"
"RELA",1,"YY1","eU1819","eD1819"
"POU1F1",1,"HESX1","eU1820","eD1820"
"HESX1",-1,"POU1F1","eU1821","eD1821"
"REL",1,"RELB","eU1822","eD1822"
"SFPQ",1,"AR","eU1823","eD1823"
"NONO",1,"AR","eU1824","eD1824"
"JDP2",-1,"CEBPD","eU1825","eD1825"
"TCF7L2",1,"CDX2","eU1826","eD1826"
"E2F1",1,"KLF6","eU1827","eD1827"
"MYC",-1,"CEBPD","eU1828","eD1828"
"MAX",1,"CEBPD","eU1829","eD1829"
"EGR2",1,"SOX10","eU1830","eD1830"
"SOX10",1,"EGR2","eU1831","eD1831"
"E2F1",1,"FOXO1","eU1832","eD1832"
"E2F1",1,"FOXO3","eU1833","eD1833"
"ESR1",1,"FOXO1","eU1834","eD1834"
"AR",1,"MED1","eU1835","eD1835"
"MED1",1,"AR","eU1836","eD1836"
"TCF3",1,"ID1","eU1837","eD1837"
"ID1",1,"TCF3","eU1838","eD1838"
"XBP1",1,"JUN","eU1839","eD1839"
"MAFB",1,"TBP","eU1840","eD1840"
"OTX2",1,"MSX1","eU1841","eD1841"
"AR",1,"ETV1","eU1842","eD1842"
"ETV1",1,"AR","eU1843","eD1843"
"FOXC2",1,"MYOD1","eU1844","eD1844"
"HNF1A",1,"NR1H4","eU1845","eD1845"
"NRF1",1,"SP7","eU1846","eD1846"
"FOXA2",1,"NEUROD1","eU1847","eD1847"
"FOXO1",1,"MAFA","eU1848","eD1848"
"FOXO1",1,"NEUROD1","eU1849","eD1849"
"OLIG2",1,"NOTCH1","eU1850","eD1850"
"MBD2",1,"SF1","eU1851","eD1851"
"FOXO3",1,"AR","eU1852","eD1852"
"SP1",1,"SNAI2","eU1853","eD1853"
"TFAP2A",-1,"ESR2","eU1854","eD1854"
"MYB",1,"MAFB","eU1855","eD1855"
"STAT1",1,"FOXO3","eU1856","eD1856"
"GATA4",1,"ID2","eU1857","eD1857"
"NKX2_5",1,"ID2","eU1858","eD1858"
"FOXH1",1,"GSC","eU1859","eD1859"
"GSC",1,"FOXH1","eU1860","eD1860"
"STAT4",1,"TBX21","eU1861","eD1861"
"TBX21",1,"STAT4","eU1862","eD1862"
"FOXO3",1,"ESR1","eU1863","eD1863"
"KMT2A",1,"JUN","eU1864","eD1864"
"CEBPB",-1,"RUNX2","eU1865","eD1865"
"SMAD4",1,"MYCN","eU1866","eD1866"
"RORC",1,"RORA","eU1867","eD1867"
"TP53",1,"KLF5","eU1868","eD1868"
"ELF1",1,"FLI1","eU1869","eD1869"
"FLI1",1,"ELF1","eU1870","eD1870"
"ETV6",1,"FLI1","eU1871","eD1871"
"PPARG",-1,"CIITA","eU1872","eD1872"
"HEY1",1,"HES1","eU1873","eD1873"
"HEY2",1,"HES1","eU1874","eD1874"
"NANOG",1,"HES1","eU1875","eD1875"
"GATA6",1,"NANOG","eU1876","eD1876"
"NANOG",-1,"GATA6","eU1877","eD1877"
"ETS1",1,"ZEB1","eU1878","eD1878"
"GATA3",1,"ESR1","eU1879","eD1879"
"CREB1",1,"SKIL","eU1880","eD1880"
"SP1",1,"SKIL","eU1881","eD1881"
"ELK1",1,"NR1H2","eU1882","eD1882"
"SRF",1,"NR1H2","eU1883","eD1883"
"THRB",1,"NR1H3","eU1884","eD1884"
"JUN",1,"ID2","eU1885","eD1885"
"EGR1",1,"ID2","eU1886","eD1886"
"TP63",1,"GATA3","eU1887","eD1887"
"CREBZF",1,"WT1","eU1888","eD1888"
"JUN",1,"ETV1","eU1889","eD1889"
"RARA",1,"MED1","eU1890","eD1890"
"NFATC2",1,"CIITA","eU1891","eD1891"
"AR",1,"NR2C2","eU1892","eD1892"
"TCF7L2",1,"RUNX2","eU1893","eD1893"
"FLI1",-1,"HOXA10","eU1894","eD1894"
"GATA1",-1,"HOXA10","eU1895","eD1895"
"HOXA11",-1,"HOXA10","eU1896","eD1896"
"MYC",1,"ERF","eU1897","eD1897"
"ERF",-1,"MYC","eU1898","eD1898"
"CEBPB",1,"PDX1","eU1899","eD1899"
"PDX1",-1,"CEBPB","eU1900","eD1900"
"ZNF143",1,"TFAM","eU1901","eD1901"
"TP73",1,"VDR","eU1902","eD1902"
"CREB1",1,"HIF1A","eU1903","eD1903"
"HMGA1",1,"SMARCA4","eU1904","eD1904"
"IRF1",1,"TP73","eU1905","eD1905"
"ATF4",1,"KAT2B","eU1906","eD1906"
"DDIT3",1,"KAT2B","eU1907","eD1907"
"MEF2C",1,"ASCL1","eU1908","eD1908"
"SP1",1,"ASCL1","eU1909","eD1909"
"TP53",1,"PITX1","eU1910","eD1910"
"PITX1",1,"TP53","eU1911","eD1911"
"SP3",1,"ATF3","eU1912","eD1912"
"HNF1A",1,"DBP","eU1913","eD1913"
"SMAD7",1,"SF1","eU1914","eD1914"
"RBPJ",1,"PDX1","eU1915","eD1915"
"RBPJ",1,"PTF1A","eU1916","eD1916"
"E2F1",-1,"HINFP","eU1917","eD1917"
"SP1",1,"HINFP","eU1918","eD1918"
"NR1I2",1,"MSX2","eU1919","eD1919"
"ESR1",1,"MSX2","eU1920","eD1920"
"HMGA1",1,"RB1","eU1921","eD1921"
"FOSL1",1,"KAT2B","eU1922","eD1922"
"JUNB",1,"KAT2B","eU1923","eD1923"
"FLI1",1,"CREBBP","eU1924","eD1924"
"FLI1",1,"KAT2B","eU1925","eD1925"
"NFKB1",1,"HIF1A","eU1926","eD1926"
"RELA",1,"HIF1A","eU1927","eD1927"
"SMARCA1",1,"CREBBP","eU1928","eD1928"
"SMARCA5",1,"CREBBP","eU1929","eD1929"
"TFAP2A",1,"USF1","eU1930","eD1930"
"USF1",1,"TFAP2A","eU1931","eD1931"
"USF1",1,"CREBBP","eU1932","eD1932"
"USF1",1,"SMARCA1","eU1933","eD1933"
"SNAI2",-1,"PPARG","eU1934","eD1934"
"STAT3",1,"TWIST1","eU1935","eD1935"
"EZH2",-1,"CIITA","eU1936","eD1936"
"HSF2",1,"FOS","eU1937","eD1937"
"STAT5A",-1,"NPM1","eU1938","eD1938"
"MTA1",-1,"BRCA1","eU1939","eD1939"
"FOXO1",1,"MYOD1","eU1940","eD1940"
"FOXO1",1,"MYOG","eU1941","eD1941"
"NRG1",1,"MTA1","eU1942","eD1942"
"EGR1",1,"ID3","eU1943","eD1943"
"ID3",-1,"EGR1","eU1944","eD1944"
"NFATC1",1,"ID3","eU1945","eD1945"
"NEUROD1",1,"NEUROD2","eU1946","eD1946"
"NEUROD2",1,"NEUROD1","eU1947","eD1947"
"NEUROG3",1,"NEUROD2","eU1948","eD1948"
